career_id,career_title,field,avg_salary_inr,job_growth,required_skills,recommended_courses,description
CA01,Software Developer,Computer Science,800000,"High","Python, Java, Data Structures, SQL, Git","C001,C002,C003,C006,C010","Design and build software applications. One of the most in-demand careers globally."
CA02,Data Scientist,Computer Science,1200000,"Very High","Python, ML, Statistics, SQL, Tableau","C001,C004,C033,C034,C013","Analyze complex data to extract insights. Combines statistics, programming, and domain knowledge."
CA03,AI/ML Engineer,Computer Science,1500000,"Very High","Python, TensorFlow, ML, Deep Learning, NLP","C004,C005,C001,C002,C033","Build AI models and deploy ML systems at scale."
CA04,Cybersecurity Analyst,Computer Science,900000,"High","Network Security, Ethical Hacking, Cryptography","C007,C008,C006,C010","Protect systems from cyber threats. Growing field with high demand."
CA05,Cloud Architect,Computer Science,1800000,"High","AWS, Azure, Docker, Kubernetes, DevOps","C008,C006,C010","Design and manage cloud infrastructure for organizations."
CA06,Full Stack Developer,Computer Science,750000,"High","HTML, CSS, JS, React, Node.js, SQL","C006,C003,C010,C009","Build both frontend and backend of web applications."
CA07,Mobile App Developer,Computer Science,700000,"High","Flutter, React Native, Android, iOS","C009,C006,C001","Create applications for smartphones and tablets."
CA08,Business Analyst,Business,600000,"Medium","Excel, SQL, Power BI, Communication, Statistics","C013,C003,C020,C012","Bridge business needs and technical solutions using data."
CA09,Marketing Manager,Business,650000,"Medium","Digital Marketing, SEO, Branding, Analytics","C012,C019,C013","Plan and execute marketing strategies to grow brands."
CA10,Financial Analyst,Business,900000,"Medium","Finance, Excel, Investment Analysis, Accounting","C017,C011,C013,C034","Analyze financial data to guide investment and business decisions."
CA11,HR Manager,Business,550000,"Medium","Recruitment, Payroll, Leadership, Communication","C015,C023,C020","Manage human resources, recruitment, training, and employee relations."
CA12,Entrepreneur/Startup Founder,Business,1000000,"High","Business Planning, Finance, Innovation, Marketing","C014,C012,C017,C020","Launch and grow new business ventures."
CA13,Operations Manager,Business,700000,"Medium","Supply Chain, Logistics, Process Optimization","C016,C020,C013","Oversee day-to-day operations and improve business processes."
CA14,Clinical Psychologist,Psychology,500000,"Medium","CBT, Assessment, Counseling, Research","C021,C024,C025","Assess and treat mental health disorders in clinical settings."
CA15,School Counselor,Psychology,400000,"Medium","Counseling, Child Development, Communication","C022,C021,C024","Support students' academic, career, and personal development."
CA16,Organizational Psychologist,Psychology,700000,"Medium","Leadership, Team Dynamics, HR, Research","C023,C021,C024,C015","Apply psychology to workplace behavior and organizational performance."
CA17,Mechanical Engineer,Engineering,600000,"Medium","CAD, SolidWorks, Manufacturing, Thermodynamics","C026,C029,C027","Design and develop mechanical systems and products."
CA18,Electrical Engineer,Engineering,650000,"Medium","Circuit Design, MATLAB, Electronics, Power Systems","C027,C029,C030","Design and develop electrical systems and components."
CA19,Civil Engineer,Engineering,580000,"Medium","Structural Analysis, AutoCAD, Site Management","C028,C026,C031","Design and oversee construction of infrastructure projects."
CA20,Robotics Engineer,Engineering,1200000,"Very High","Robotics, Arduino, AI, Sensors, Control Systems","C030,C005,C027,C004","Design and build robotic systems for industrial and research use."
CA21,Environmental Consultant,Science,550000,"Medium","GIS, Environmental Law, Data Analysis, Ecology","C031,C034,C033","Advise organizations on environmental compliance and sustainability."
CA22,Biotechnologist,Science,700000,"High","Genetics, Lab Skills, Bioinformatics, Research","C032,C034,C024","Apply biological research in medicine, agriculture, and industry."
CA23,UX Designer,Arts,750000,"High","Figma, User Research, Prototyping, Design Thinking","C036,C035,C006","Design user-centered digital experiences for apps and websites."
CA24,Graphic Designer,Arts,450000,"Medium","Photoshop, Illustrator, Typography, Creativity","C035,C036,C037","Create visual content for brands, media, and digital platforms."
CA25,Journalist/Media Professional,Arts,400000,"Medium","Writing, Reporting, Social Media, Research","C037,C024","Report news and create media content across print, digital, and broadcast."
CA26,Lawyer,Law,900000,"Medium","Legal Research, Argumentation, Contract Law","C038","Represent clients and provide legal advice in various areas of law."
CA27,Hospital Administrator,Healthcare,700000,"High","Hospital Management, Leadership, Health Policy","C039,C020,C015","Manage hospital operations, staff, budgets, and patient care policies."
CA28,Registered Nurse,Healthcare,450000,"Very High","Patient Care, Clinical Skills, Anatomy, Empathy","C040,C025","Provide direct patient care in hospitals, clinics, and community settings."
CA29,Public Health Specialist,Healthcare,600000,"High","Epidemiology, Public Health Policy, Research","C025,C039,C031,C034","Develop programs to improve community health outcomes."
CA30,Data Analyst,Science,700000,"Very High","Excel, SQL, Python, Tableau, Statistics","C013,C003,C033,C034","Collect, clean, and analyze data to support business decisions."
