course_id,course_name,field,level,credits,skills,description
C001,Introduction to Programming,Computer Science,Undergraduate,3,"Python, Problem Solving, Logic","Fundamentals of programming using Python. Covers variables, loops, functions, and basic algorithms."
C002,Data Structures and Algorithms,Computer Science,Undergraduate,3,"Data Structures, Algorithms, C++, Java","Study of arrays, linked lists, trees, graphs, sorting and searching algorithms."
C003,Database Management Systems,Computer Science,Undergraduate,3,"SQL, Database Design, ER Diagrams, MySQL","Relational databases, SQL queries, normalization, and database design."
C004,Machine Learning,Computer Science,Postgraduate,3,"Python, ML, Scikit-learn, Statistics","Supervised and unsupervised learning, regression, classification, clustering, neural networks."
C005,Artificial Intelligence,Computer Science,Postgraduate,3,"AI, Search Algorithms, NLP, Knowledge Representation","AI concepts, search strategies, natural language processing, and expert systems."
C006,Web Development,Computer Science,Undergraduate,3,"HTML, CSS, JavaScript, React, Node.js","Full-stack web development covering frontend and backend technologies."
C007,Cybersecurity Fundamentals,Computer Science,Undergraduate,3,"Network Security, Cryptography, Ethical Hacking","Security principles, encryption, firewalls, vulnerability assessment."
C008,Cloud Computing,Computer Science,Postgraduate,3,"AWS, Azure, Docker, Kubernetes","Cloud architecture, deployment models, containerization, and DevOps."
C009,Mobile App Development,Computer Science,Undergraduate,3,"Android, iOS, Flutter, React Native","Developing mobile applications for Android and iOS platforms."
C010,Software Engineering,Computer Science,Undergraduate,3,"SDLC, Agile, UML, Testing","Software development lifecycle, design patterns, testing methodologies."
C011,Financial Accounting,Business,Undergraduate,3,"Accounting, Balance Sheet, Ledger, Tally","Principles of accounting, financial statements, and bookkeeping."
C012,Marketing Management,Business,Undergraduate,3,"Marketing, Branding, Digital Marketing, SEO","Marketing strategies, consumer behavior, brand management, digital marketing."
C013,Business Analytics,Business,Postgraduate,3,"Excel, Power BI, Tableau, Statistics","Data-driven business decisions using analytics tools and statistical methods."
C014,Entrepreneurship,Business,Undergraduate,3,"Business Plan, Startup, Innovation, Finance","Starting and managing a business, business planning, funding strategies."
C015,Human Resource Management,Business,Undergraduate,3,"HR, Recruitment, Payroll, Leadership","Managing people, recruitment, training, performance evaluation."
C016,Operations Management,Business,Undergraduate,3,"Supply Chain, Logistics, Process Optimization","Managing production and operations, supply chain, quality management."
C017,Financial Management,Business,Postgraduate,3,"Finance, Investment, Risk Management, CFO Skills","Corporate finance, investment analysis, capital budgeting, risk management."
C018,International Business,Business,Postgraduate,3,"Global Trade, Import Export, Cross-cultural Management","International trade, global markets, cross-cultural business practices."
C019,Digital Marketing,Business,Undergraduate,3,"SEO, Social Media, Google Ads, Content Marketing","Online marketing strategies, social media management, paid advertising."
C020,Project Management,Business,Postgraduate,3,"PMP, Agile, Scrum, Risk Management","Planning, executing, and closing projects using PM methodologies."
C021,Clinical Psychology,Psychology,Undergraduate,3,"Counseling, CBT, Assessment, Therapy","Mental health assessment, psychological disorders, therapeutic techniques."
C022,Educational Psychology,Psychology,Undergraduate,3,"Learning Theories, Child Development, Teaching","How people learn, developmental psychology, educational interventions."
C023,Organizational Behavior,Psychology,Postgraduate,3,"Leadership, Team Dynamics, Motivation, HR","Behavior in organizations, motivation theories, leadership styles."
C024,Research Methods,Psychology,Undergraduate,3,"Statistics, SPSS, Research Design, Data Analysis","Quantitative and qualitative research methods, statistical analysis."
C025,Health Psychology,Psychology,Postgraduate,3,"Public Health, Wellness, Behavior Change, Counseling","Psychological factors in health and illness, health promotion."
C026,Mechanical Engineering Design,Engineering,Undergraduate,3,"CAD, AutoCAD, SolidWorks, Manufacturing","Machine design, CAD tools, manufacturing processes."
C027,Electrical Circuit Analysis,Engineering,Undergraduate,3,"Circuit Design, Electronics, MATLAB, Simulation","Electrical circuits, Ohm's law, AC/DC analysis, simulation tools."
C028,Civil Engineering and Construction,Engineering,Undergraduate,3,"Structural Analysis, AutoCAD, Site Management","Structural design, construction management, material science."
C029,Thermodynamics,Engineering,Undergraduate,3,"Heat Transfer, Fluid Mechanics, Energy Systems","Laws of thermodynamics, heat engines, refrigeration."
C030,Robotics and Automation,Engineering,Postgraduate,3,"Robotics, Arduino, PLC, Sensors","Robot design, control systems, industrial automation, sensors."
C031,Environmental Science,Science,Undergraduate,3,"Ecology, GIS, Environmental Law, Sustainability","Environmental systems, pollution control, GIS, sustainability."
C032,Biotechnology,Science,Postgraduate,3,"Genetics, PCR, Bioinformatics, Lab Skills","Genetic engineering, molecular biology, bioinformatics."
C033,Data Science,Science,Postgraduate,3,"Python, R, Machine Learning, Big Data, Tableau","Data wrangling, visualization, predictive modeling, big data tools."
C034,Statistics,Science,Undergraduate,3,"Statistics, R, SPSS, Probability","Probability theory, statistical inference, regression analysis."
C035,Graphic Design,Arts,Undergraduate,3,"Photoshop, Illustrator, Typography, UI Design","Visual communication, design principles, digital design tools."
C036,UX/UI Design,Arts,Postgraduate,3,"Figma, User Research, Prototyping, Wireframing","User experience design, usability testing, interaction design."
C037,Communication and Media Studies,Arts,Undergraduate,3,"Public Speaking, Journalism, Social Media, Writing","Mass communication, journalism, media ethics, public relations."
C038,Law and Legal Studies,Law,Undergraduate,3,"Legal Research, Contract Law, Court Procedures","Introduction to law, legal reasoning, contract and tort law."
C039,Healthcare Management,Healthcare,Postgraduate,3,"Hospital Management, Health Policy, Leadership","Managing healthcare organizations, health policy, medical ethics."
C040,Nursing Fundamentals,Healthcare,Undergraduate,3,"Patient Care, Clinical Skills, Anatomy, Pharmacology","Basic nursing care, clinical procedures, anatomy, pharmacology.")
